Klaszter,Klaszter_ID,Átlag age,Szórás age,Átlag balance,Szórás balance,Elemszám (db),Elemszám (%)
Noise,-1,50.330601092896174,17.167586315835724,20429.183060109288,14750.96430864404,366,0.8095375019353698
Cluster_0,0,40.78203547164735,10.409532199744323,1142.27895244288,1909.3270262888502,44599,98.64634712791135
Cluster_1,1,59.46153846153846,1.126601424298216,13285.384615384615,303.9288673526363,13,0.028754064276392915
Cluster_2,2,42.55555555555556,1.4240006242195884,15527.777777777777,154.19693396577134,9,0.01990665988365663
Cluster_3,3,58.357142857142854,1.2774459408789602,11955.142857142857,354.92531330123245,14,0.030965915374576984
Cluster_4,4,31.857142857142858,0.9492622930986467,14855.07142857143,397.5129343392904,14,0.030965915374576984
Cluster_5,5,33.3,0.8232726023485646,17815.6,325.27226202743515,10,0.0221185109818407
Cluster_6,6,37.142857142857146,1.2149857925879117,16688.571428571428,262.5533959298293,7,0.015482957687288492
Cluster_7,7,23.142857142857142,0.6900655593423541,8391.857142857143,258.3056513586366,7,0.015482957687288492
Cluster_8,8,54.68421052631579,0.8200698871944031,12105.894736842105,541.3000702769872,19,0.042025170865497334
Cluster_9,9,56.0,1.2535663410560174,16554.066666666666,369.4034702185726,15,0.03317776647276105
Cluster_10,10,47.75,0.5,17962.25,3.5,4,0.00884740439273628
Cluster_11,11,41.5,0.5773502691896257,16495.5,43.0,4,0.00884740439273628
Cluster_12,12,49.166666666666664,1.169045194450012,13805.666666666666,261.244457676458,6,0.013271106589104421
Cluster_13,13,43.8,0.8366600265340756,17585.4,143.87077535065976,5,0.01105925549092035
Cluster_14,14,59.6,0.5477225575051661,17194.8,225.97610493147278,5,0.01105925549092035
Cluster_15,15,36.285714285714285,1.1126972805283735,15493.857142857143,150.97729252156714,7,0.015482957687288492
Cluster_16,16,58.5,0.5773502691896257,26156.75,145.07785266309028,4,0.00884740439273628
Cluster_17,17,44.75,0.9574271077563381,16354.75,129.438209196512,4,0.00884740439273628
Cluster_18,18,56.6,0.8944271909999159,15180.6,235.43109395319897,5,0.01105925549092035
Cluster_19,19,33.6,0.5477225575051661,16754.2,226.69516977650846,5,0.01105925549092035
Cluster_20,20,44.5,0.5773502691896257,20261.25,187.73096885348102,4,0.00884740439273628
Cluster_21,21,83.0,0.0,6163.0,146.0,4,0.00884740439273628
Cluster_22,22,29.333333333333332,0.5773502691896258,15393.0,114.3153532995459,3,0.0066355532945522105
Cluster_23,23,79.28571428571429,0.7559289460184545,8376.0,122.96340919151518,7,0.015482957687288492
Cluster_24,24,78.0,0.7071067811865476,4785.6,95.49240807519728,5,0.01105925549092035
Cluster_25,25,74.625,1.0606601717798212,4903.875,163.0463891044509,8,0.01769480878547256
Cluster_26,26,41.666666666666664,0.816496580927726,27702.166666666668,15.105186747162934,6,0.013271106589104421
Cluster_27,27,46.25,0.9574271077563381,24516.0,137.43362034087585,4,0.00884740439273628
Cluster_28,28,33.25,0.5,22919.25,104.5,4,0.00884740439273628
Cluster_29,29,72.25,1.4847711791873706,5733.166666666667,262.24028999558726,12,0.026542213178208842
Cluster_30,30,74.8,0.4472135954999579,6037.4,14.24078649513432,5,0.01105925549092035
Cluster_31,31,69.83333333333333,0.408248290463863,6717.833333333333,188.95969587895368,6,0.013271106589104421
Cluster_32,32,83.875,1.246423454758225,1896.125,180.01383875373898,8,0.01769480878547256
Cluster_33,33,92.5,0.5773502691896257,775.0,0.0,4,0.00884740439273628
Cluster_34,34,85.75,0.5,1317.0,124.0,4,0.00884740439273628
Cluster_35,35,83.2,0.4472135954999579,4612.8,237.49989473681876,5,0.01105925549092035
