MinPts,Epsilon,Percentilis,Klaszterek,Noise (%),Max Klaszter (%),Silhouette,Davies-Bouldin,Calinski-Harabasz,Balance Score,Combined Score
20,0.0038831186839316523,50,606,47.20532613744442,0.5991034396078595,0.9194942628495544,0.11074584898465778,8335997.169066978,0.3217700645174493,0.5131631845896476
10,0.0038831186839316523,70,1288,26.44489172988874,0.43001052473312285,0.9081902056062185,0.14412411720572021,9937855.325157763,0.30080245253364035,0.496790247614481
4,0.0038831186839316523,85,2388,11.882064099444825,0.35894475262933306,0.8937218170948656,0.1692782775006762,8853741.204183677,0.27718996347232283,0.47809124699485583
20,0.0038831186839317355,60,557,38.86222379509412,0.7778300350927969,0.7238912881316923,0.33363046864900503,1811112.5768526485,0.30541382110214466,0.47237336799125507
10,0.0038831186839317355,75,1071,23.22001282873637,0.6193645032120532,0.724049450568473,0.3272632858244285,2485601.915446632,0.28560575026542173,0.45853144277106617
20,0.14755850998940634,97,24,2.4706376766716063,39.51331246881662,0.10344962531316856,1.579909741311545,1817.1354024810298,0.3846290500597209,0.43475777883877986
10,0.29861182679435644,99,31,0.7719360332662405,39.073157683562926,0.13191454763856353,1.916834130618452,1432.1744727137434,0.37804960301196067,0.43442190425415694
4,0.0038831186839317633,90,599,7.279201964123776,37.30916030534351,0.16452544321917836,0.3863763060504198,346.49234076677743,0.369000528871274,0.43297918669276847
20,0.06989613631077135,95,28,4.34186370573533,40.20995190529042,0.09826007790571306,1.0835224387443854,1495.5744778351889,0.37897475027746946,0.4300213368800856
20,0.007766237367863527,80,47,16.99807568954458,42.994190694451845,0.08828888546796006,0.5546406694153275,1180.6378807400995,0.3718370015229157,0.423529233886235
20,0.02718183078752212,90,31,8.85182809493265,41.563736077070544,0.07083244149870616,0.7902105407669962,1326.7971137241716,0.3753785776517657,0.4233898705810419
10,0.031064949471454106,95,50,4.306474088164385,40.049463757396445,0.09180317121733376,0.7121666164028914,1092.2489082099796,0.36842603550295855,0.42166870053467104
10,0.06601301762683964,97,54,2.3423503129769303,39.44781663344809,0.09624170361015183,0.8280282520148431,979.9850066795462,0.3674025085059693,0.4216180114957012
10,0.0038831186839317633,80,203,15.549313220234016,40.95754432833085,0.08813925559505674,0.4309995668525432,387.4960407573773,0.3666080335782002,0.41984651184399857
10,0.0077662373678634156,85,175,12.600915706354648,40.833628587336136,0.09246654335049091,0.4488740910975038,498.57375789140383,0.3656536779007802,0.4198275560331198
4,0.09319484841436176,99,78,0.8294441618190265,39.04228744758676,0.0983934235244257,0.8283798916369614,700.059073721549,0.3626954988093359,0.41864586269519893
10,0.011649356051795234,90,100,8.334254937957576,40.58103901744565,0.0877181080762541,0.4609432356780562,647.3771046913662,0.36368959776077986,0.417740434643984
20,0.015532474735726831,85,54,13.018955563911438,42.51748251748252,0.06285121004228406,0.5803598588345179,784.9670983803354,0.3689519436792164,0.41769404208179406
4,0.011649356051795179,95,283,4.06980602065869,39.311982661225244,0.09787613487700579,0.3768259092065373,350.65531120745544,0.3605102715962116,0.417038610348899
4,0.0194155934196588,97,195,2.4949680387516313,39.439239616178575,0.09098304278611793,0.4066077394694639,405.62932972305174,0.3588628385731577,0.41485144341912805
20,0.0077662373678634156,75,108,21.266948309039833,43.56950219125744,0.013288864620391716,0.4928129908426008,585.2090217840802,0.369680217918784,0.4107694822362076
20,0.0038831186839317633,70,79,24.544911636548626,44.66787829043795,0.016172104132802314,0.4809915445626297,626.5388323859651,0.367747789800839,0.4098492684805076
20,0.34729552027914296,99,1,0.6724027338479573,100.0,,,,0.38,0.0
